sample_step,avg_loss,time,lr,cond
303360,1.565867,1768481327.411,0.0002,Y
304000,1.616518,1768481336.010,0.0002,Y
304640,1.564230,1768481344.642,0.0002,Y
305280,1.586415,1768481353.162,0.0002,Y
305920,1.522778,1768481361.876,0.0002,Y
306560,1.521691,1768481370.637,0.0002,Y
307200,1.577038,1768481379.197,0.0002,Y
307840,1.594205,1768481387.733,0.0002,Y
308480,1.473621,1768481396.393,0.0002,Y
309120,1.556575,1768481405.140,0.0002,Y
309760,1.488426,1768481413.791,0.0002,Y
310400,1.562331,1768481422.428,0.0002,Y
311040,1.542184,1768481431.219,0.0002,Y
311680,1.519505,1768481439.977,0.0002,Y
312320,1.554850,1768481448.679,0.0002,Y
312960,1.536033,1768481457.349,0.0002,Y
313600,1.550909,1768481465.903,0.0002,Y
314240,1.524780,1768481474.538,0.0002,Y
314880,1.535636,1768481483.199,0.0002,Y
315520,1.460192,1768481491.950,0.0002,Y
316160,1.629666,1768481500.621,0.0002,Y
316800,1.526538,1768481509.354,0.0002,Y
317440,1.507835,1768481518.148,0.0002,Y
318080,1.601626,1768481526.844,0.0002,Y
318720,1.505875,1768481535.626,0.0002,Y
319360,1.589277,1768481544.357,0.0002,Y
320000,1.521513,1768481553.198,0.0002,Y
320640,1.520420,1768481561.994,0.0002,Y
321280,1.508089,1768481570.647,0.0002,Y
321920,1.567756,1768481579.256,0.0002,Y
322560,1.480483,1768481587.894,0.0002,Y
323200,1.561310,1768481596.579,0.0002,Y
323840,1.515492,1768481605.214,0.0002,Y
324480,1.481017,1768481613.846,0.0002,Y
325120,1.505219,1768481622.606,0.0002,Y
325760,1.492644,1768481631.444,0.0002,Y
326400,1.470262,1768481640.078,0.0002,Y
327040,1.514543,1768481648.756,0.0002,Y
327680,1.466619,1768481657.422,0.0002,Y
328320,1.499220,1768481666.151,0.0002,Y
328960,1.558927,1768481674.823,0.0002,Y
329600,1.548852,1768481683.518,0.0002,Y
330240,1.546972,1768481692.297,0.0002,Y
330880,1.513993,1768481700.966,0.0002,Y
331520,1.520129,1768481709.623,0.0002,Y
332160,1.520577,1768481718.244,0.0002,Y
332800,1.493460,1768481726.882,0.0002,Y
333440,1.529495,1768481735.540,0.0002,Y
334080,1.502225,1768481744.119,0.0002,Y
334720,1.551384,1768481752.872,0.0002,Y
335360,1.491174,1768481761.726,0.0002,Y
336000,1.550786,1768481770.476,0.0002,Y
336640,1.510503,1768481779.220,0.0002,Y
337280,1.421451,1768481787.978,0.0002,Y
337920,1.525269,1768481796.683,0.0002,Y
338560,1.514450,1768481805.373,0.0002,Y
339200,1.482494,1768481814.022,0.0002,Y
339840,1.512311,1768481822.884,0.0002,Y
340480,1.557270,1768481831.584,0.0002,Y
341120,1.458843,1768481840.244,0.0002,Y
341760,1.482448,1768481848.846,0.0002,Y
342400,1.450081,1768481857.591,0.0002,Y
343040,1.544454,1768481866.163,0.0002,Y
343680,1.414742,1768481874.820,0.0002,Y
344320,1.474151,1768481883.576,0.0002,Y
344960,1.507728,1768481892.427,0.0002,Y
345600,1.527207,1768481901.098,0.0002,Y
346240,1.460766,1768481909.795,0.0002,Y
346880,1.489849,1768481918.487,0.0002,Y
347520,1.465175,1768481927.174,0.0002,Y
348160,1.443163,1768481935.864,0.0002,Y
348800,1.524439,1768481944.449,0.0002,Y
349440,1.450531,1768481953.281,0.0002,Y
350080,1.536153,1768481962.126,0.0002,Y
350720,1.475060,1768481970.767,0.0002,Y
351360,1.472252,1768481979.448,0.0002,Y
352000,1.485682,1768481988.152,0.0002,Y
352640,1.557430,1768481996.861,0.0002,Y
353280,1.520309,1768482005.574,0.0002,Y
353920,1.511048,1768482014.314,0.0002,Y
354560,1.511657,1768482023.192,0.0002,Y
355200,1.488259,1768482031.928,0.0002,Y
355840,1.463361,1768482040.627,0.0002,Y
356480,1.502272,1768482049.322,0.0002,Y
357120,1.511708,1768482058.055,0.0002,Y
357760,1.527988,1768482066.805,0.0002,Y
358400,1.485550,1768482075.557,0.0002,Y
359040,1.420347,1768482084.436,0.0002,Y
359680,1.484437,1768482093.080,0.0002,Y
360320,1.493347,1768482101.822,0.0002,Y
360960,1.435043,1768482110.419,0.0002,Y
361600,1.509478,1768482119.102,0.0002,Y
362240,1.458739,1768482127.857,0.0002,Y
362880,1.463626,1768482136.495,0.0002,Y
363520,1.495500,1768482145.124,0.0002,Y
364160,1.438557,1768482153.988,0.0002,Y
364800,1.559558,1768482162.573,0.0002,Y
365440,1.455773,1768482171.261,0.0002,Y
366080,1.468757,1768482179.886,0.0002,Y
366720,1.491738,1768482188.541,0.0002,Y
367360,1.420801,1768482197.180,0.0002,Y
368000,1.477774,1768482205.848,0.0002,Y
368640,1.481351,1768482214.608,0.0002,Y
369280,1.447287,1768482223.252,0.0002,Y
369920,1.421522,1768482231.852,0.0002,Y
370560,1.492718,1768482240.452,0.0002,Y
371200,1.443931,1768482249.144,0.0002,Y
371840,1.428124,1768482257.801,0.0002,Y
372480,1.502324,1768482266.628,0.0002,Y
373120,1.510173,1768482275.299,0.0002,Y
373760,1.442115,1768482284.144,0.0002,Y
374400,1.576128,1768482292.775,0.0002,Y
375040,1.492656,1768482301.390,0.0002,Y
375680,1.552715,1768482310.036,0.0002,Y
376320,1.476795,1768482318.704,0.0002,Y
376960,1.533874,1768482327.342,0.0002,Y
377600,1.494435,1768482336.020,0.0002,Y
378240,1.542645,1768482344.725,0.0002,Y
378880,1.560258,1768482353.478,0.0002,Y
379520,1.472328,1768482362.068,0.0002,Y
380160,1.534953,1768482370.676,0.0002,Y
380800,1.483265,1768482379.276,0.0002,Y
381440,1.457333,1768482387.938,0.0002,Y
382080,1.474922,1768482396.540,0.0002,Y
382720,1.491457,1768482405.163,0.0002,Y
383360,1.482285,1768482413.977,0.0002,Y
384000,1.475727,1768482422.742,0.0002,Y
384640,1.444000,1768482431.352,0.0002,Y
385280,1.436721,1768482440.025,0.0002,Y
385920,1.469851,1768482448.703,0.0002,Y
386560,1.477731,1768482457.325,0.0002,Y
387200,1.475407,1768482466.009,0.0002,Y
