epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
391,13.964043,3.278707,4.521751,0.358634,0.151887,0.8000
392,13.957389,3.276432,4.520823,0.359273,0.152162,0.8000
393,13.967236,3.278335,4.527066,0.359122,0.151458,0.8000
394,13.963475,3.278162,4.522375,0.358906,0.152184,0.8000
395,13.972757,3.279516,4.530147,0.358099,0.151991,0.8000
396,13.983560,3.281472,4.536123,0.358747,0.151498,0.8000
397,13.965226,3.278037,4.526820,0.357606,0.152052,0.8000
398,13.966183,3.279711,4.519896,0.358866,0.152267,0.8000
399,13.970402,3.278905,4.527686,0.359784,0.151753,0.8000
400,13.969774,3.279544,4.525638,0.359233,0.151399,0.8000
401,13.966771,3.278164,4.527279,0.358783,0.151671,0.8000
402,13.970803,3.278406,4.531964,0.358495,0.151519,0.8000
403,13.961736,3.278865,4.518191,0.358422,0.152166,0.8000
404,13.964509,3.278685,4.521313,0.359340,0.152063,0.8000
405,13.967787,3.279279,4.525327,0.358081,0.151607,0.8000
406,13.971887,3.280123,4.525579,0.358587,0.152468,0.8000
407,13.962360,3.277796,4.522362,0.359050,0.152032,0.8000
408,13.965310,3.277866,4.526698,0.358216,0.152137,0.8000
409,13.961054,3.276765,4.525190,0.358768,0.151839,0.8000
410,13.958723,3.277221,4.520055,0.358152,0.152863,0.8000
411,13.953098,3.277350,4.514327,0.358345,0.151242,0.8000
412,13.960263,3.277416,4.520002,0.359404,0.152608,0.8000
413,13.959883,3.277734,4.518765,0.359325,0.152343,0.8000
414,13.966422,3.277885,4.526936,0.359223,0.151995,0.8000
415,13.964948,3.278017,4.524799,0.359790,0.151266,0.8000
416,13.961281,3.277424,4.523402,0.359074,0.151214,0.8000
417,13.971781,3.279572,4.528068,0.358480,0.152130,0.8000
418,13.962889,3.277091,4.525646,0.359157,0.151944,0.8000
419,13.959838,3.277580,4.521614,0.358296,0.151510,0.8000
420,13.957048,3.276365,4.522818,0.357385,0.152316,0.8000
421,13.965921,3.278023,4.527028,0.357782,0.152447,0.8000
422,13.974236,3.280748,4.527432,0.358097,0.151950,0.8000
423,13.955593,3.275976,4.520817,0.358570,0.152441,0.8000
424,13.968328,3.278824,4.525248,0.359435,0.152221,0.8000
425,13.962610,3.277104,4.526915,0.358042,0.151724,0.8000
426,13.966805,3.278397,4.527738,0.357704,0.151720,0.8000
427,13.968585,3.278392,4.529972,0.358140,0.151292,0.8000
428,13.965342,3.278349,4.524698,0.358559,0.151978,0.8000
429,13.958282,3.276458,4.523623,0.357967,0.152043,0.8000
430,13.962722,3.277688,4.524010,0.358840,0.151609,0.8000
431,13.970414,3.278866,4.527316,0.359626,0.152338,0.8000
432,13.959069,3.276001,4.524983,0.359216,0.151863,0.8000
433,13.967105,3.278675,4.525936,0.358573,0.151759,0.8000
