epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
377,12.068556,2.816140,3.836311,0.369643,0.181444,0.8000
378,12.069440,2.815783,3.839076,0.368873,0.181958,0.8000
379,12.056166,2.813490,3.829801,0.369927,0.181928,0.8000
380,12.059693,2.812826,3.837670,0.369162,0.181916,0.8000
381,12.060685,2.813103,3.836899,0.369723,0.182134,0.8000
382,12.058712,2.813855,3.831628,0.369981,0.181863,0.8000
383,12.049281,2.811167,3.832224,0.367783,0.182216,0.8000
384,12.057428,2.813776,3.830685,0.369778,0.181775,0.8000
385,12.057008,2.812595,3.835810,0.367970,0.182607,0.8000
386,12.058358,2.814482,3.828776,0.369689,0.182202,0.8000
387,12.060273,2.813974,3.833364,0.369289,0.182369,0.8000
388,12.061871,2.814368,3.834589,0.368887,0.182209,0.8000
389,12.055784,2.812043,3.836666,0.367733,0.182591,0.8000
390,12.055437,2.812552,3.833364,0.368605,0.182485,0.8000
391,12.070364,2.816136,3.839914,0.367725,0.182299,0.8000
392,12.064108,2.813844,3.839528,0.368786,0.182167,0.8000
393,12.065399,2.815700,3.834157,0.368115,0.182859,0.8000
394,12.060758,2.814639,3.833331,0.368256,0.181919,0.8000
395,12.052100,2.811999,3.834112,0.366954,0.181859,0.8000
396,12.054599,2.812786,3.832140,0.368301,0.182226,0.8000
397,12.055836,2.811927,3.837200,0.368134,0.182161,0.8000
398,12.077180,2.816585,3.845243,0.368707,0.182522,0.8000
399,12.059362,2.813084,3.836673,0.368888,0.181884,0.8000
400,12.051942,2.810866,3.835887,0.368371,0.182266,0.8000
401,12.061196,2.814184,3.835002,0.368069,0.182574,0.8000
402,12.070972,2.815195,3.843685,0.368115,0.182323,0.8000
403,12.057546,2.811708,3.841159,0.367188,0.182306,0.8000
404,12.053244,2.811445,3.834590,0.368574,0.182665,0.8000
405,12.054030,2.812396,3.833366,0.367745,0.182404,0.8000
406,12.065755,2.814692,3.839617,0.368049,0.181935,0.8000
407,12.054083,2.812320,3.833064,0.368280,0.182393,0.8000
408,12.058952,2.813742,3.833286,0.368803,0.182294,0.8000
409,12.061492,2.813088,3.840480,0.367364,0.182481,0.8000
410,12.056854,2.813383,3.833008,0.367608,0.182692,0.8000
411,12.061233,2.815165,3.831415,0.368003,0.182603,0.8000
412,12.054768,2.811045,3.839999,0.367120,0.182513,0.8000
413,12.064486,2.814093,3.840152,0.367059,0.183027,0.8000
414,12.053550,2.811218,3.838770,0.365993,0.182885,0.8000
415,12.055766,2.812862,3.832742,0.367985,0.183002,0.8000
416,12.059274,2.812925,3.839391,0.366680,0.182308,0.8000
417,12.052758,2.811674,3.836452,0.366458,0.182117,0.8000
418,12.054210,2.810890,3.838020,0.367990,0.183134,0.8000
419,12.052264,2.810802,3.836558,0.367848,0.182764,0.8000
420,12.063655,2.814709,3.837789,0.366839,0.182457,0.8000
421,12.051317,2.811964,3.831892,0.367469,0.182442,0.8000
422,12.061746,2.815027,3.833103,0.367511,0.182672,0.8000
423,12.066414,2.815768,3.837074,0.367004,0.182446,0.8000
424,12.052000,2.814254,3.825486,0.366371,0.182478,0.8000
425,12.052164,2.811850,3.834337,0.366780,0.182365,0.8000
426,12.052642,2.810806,3.838460,0.366719,0.182737,0.8000
427,12.071021,2.816301,3.840433,0.367174,0.182598,0.8000
428,12.057413,2.812803,3.837137,0.366865,0.182431,0.8000
429,12.046829,2.810576,3.830257,0.367976,0.182918,0.8000
430,12.043987,2.808913,3.833583,0.367379,0.183004,0.8000
431,12.068917,2.814796,3.844823,0.366270,0.182399,0.8000
432,12.052621,2.811825,3.834680,0.366799,0.182602,0.8000
433,12.061423,2.813594,3.839954,0.365843,0.182834,0.8000
