sample_step,avg_loss,time,lr,cond
213760,1.689601,1762271765.556,0.0002,Y
214400,1.700155,1762271802.348,0.0002,Y
215040,1.578002,1762271838.908,0.0002,Y
215680,1.687067,1762271874.972,0.0002,Y
216320,1.706833,1762271911.878,0.0002,Y
216960,1.581246,1762271949.058,0.0002,Y
217600,1.615454,1762271985.743,0.0002,Y
218240,1.607397,1762272022.763,0.0002,Y
218880,1.565643,1762272058.858,0.0002,Y
219520,1.677405,1762272096.487,0.0002,Y
220160,1.658578,1762272133.121,0.0002,Y
220800,1.616258,1762272169.294,0.0002,Y
221440,1.591694,1762272205.487,0.0002,Y
222080,1.660323,1762272241.743,0.0002,Y
222720,1.637914,1762272277.958,0.0002,Y
223360,1.593619,1762272314.349,0.0002,Y
224000,1.595026,1762272352.276,0.0002,Y
224640,1.630153,1762272388.806,0.0002,Y
225280,1.604299,1762272425.424,0.0002,Y
225920,1.507769,1762272462.682,0.0002,Y
226560,1.577783,1762272500.063,0.0002,Y
227200,1.562799,1762272536.577,0.0002,Y
227840,1.637296,1762272573.139,0.0002,Y
228480,1.653767,1762272610.387,0.0002,Y
229120,1.551436,1762272647.015,0.0002,Y
229760,1.557775,1762272684.287,0.0002,Y
230400,1.577173,1762272722.220,0.0002,Y
231040,1.536241,1762272758.732,0.0002,Y
231680,1.587650,1762272793.753,0.0002,Y
232320,1.558242,1762272829.450,0.0002,Y
232960,1.507694,1762272866.209,0.0002,Y
233600,1.629523,1762272902.419,0.0002,Y
234240,1.600386,1762272939.415,0.0002,Y
234880,1.510176,1762272975.731,0.0002,Y
235520,1.563316,1762273012.209,0.0002,Y
236160,1.541279,1762273048.182,0.0002,Y
236800,1.507156,1762273085.181,0.0002,Y
237440,1.482453,1762273122.304,0.0002,Y
238080,1.586126,1762273159.195,0.0002,Y
238720,1.584677,1762273196.035,0.0002,Y
239360,1.543250,1762273232.804,0.0002,Y
240000,1.569744,1762273269.959,0.0002,Y
240640,1.504893,1762273306.929,0.0002,Y
241280,1.552964,1762273344.323,0.0002,Y
241920,1.558495,1762273381.172,0.0002,Y
242560,1.505093,1762273418.138,0.0002,Y
243200,1.586169,1762273455.209,0.0002,Y
243840,1.560952,1762273492.432,0.0002,Y
244480,1.500669,1762273529.699,0.0002,Y
245120,1.530371,1762273567.405,0.0002,Y
245760,1.526380,1762273603.860,0.0002,Y
246400,1.522323,1762273641.138,0.0002,Y
247040,1.504642,1762273678.577,0.0002,Y
247680,1.499846,1762273715.552,0.0002,Y
248320,1.470027,1762273752.243,0.0002,Y
248960,1.495001,1762273788.496,0.0002,Y
249600,1.631791,1762273824.537,0.0002,Y
250240,1.472943,1762273860.903,0.0002,Y
250880,1.527439,1762273897.407,0.0002,Y
251520,1.476997,1762273934.628,0.0002,Y
252160,1.378557,1762273972.400,0.0002,Y
252800,1.572223,1762274009.080,0.0002,Y
253440,1.434795,1762274046.308,0.0002,Y
254080,1.537082,1762274082.489,0.0002,Y
254720,1.456103,1762274119.180,0.0002,Y
255360,1.490280,1762274156.335,0.0002,Y
256000,1.517370,1762274193.371,0.0002,Y
256640,1.511051,1762274230.574,0.0002,Y
257280,1.451769,1762274267.736,0.0002,Y
257920,1.467453,1762274303.950,0.0002,Y
258560,1.546050,1762274340.229,0.0002,Y
259200,1.482884,1762274376.766,0.0002,Y
259840,1.493659,1762274412.540,0.0002,Y
260480,1.466068,1762274449.070,0.0002,Y
261120,1.478761,1762274486.324,0.0002,Y
261760,1.489475,1762274522.091,0.0002,Y
262400,1.455780,1762274558.070,0.0002,Y
263040,1.463009,1762274593.373,0.0002,Y
263680,1.520754,1762274628.987,0.0002,Y
264320,1.460079,1762274665.998,0.0002,Y
264960,1.458883,1762274703.202,0.0002,Y
265600,1.531046,1762274740.340,0.0002,Y
266240,1.512448,1762274776.511,0.0002,Y
266880,1.520674,1762274813.375,0.0002,Y
267520,1.449045,1762274850.533,0.0002,Y
268160,1.436233,1762274886.979,0.0002,Y
268800,1.548098,1762274922.281,0.0002,Y
269440,1.410946,1762274959.731,0.0002,Y
270080,1.395976,1762274996.398,0.0002,Y
270720,1.441716,1762275033.633,0.0002,Y
271360,1.444433,1762275071.581,0.0002,Y
272000,1.466333,1762275108.144,0.0002,Y
272640,1.447207,1762275144.580,0.0002,Y
273280,1.359719,1762275180.572,0.0002,Y
273920,1.353902,1762275216.905,0.0002,Y
274560,1.393804,1762275252.870,0.0002,Y
275200,1.386614,1762275290.040,0.0002,Y
275840,1.480100,1762275326.966,0.0002,Y
276480,1.461403,1762275364.245,0.0002,Y
277120,1.415513,1762275400.526,0.0002,Y
277760,1.411751,1762275437.322,0.0002,Y
278400,1.446332,1762275473.384,0.0002,Y
279040,1.434076,1762275510.812,0.0002,Y
279680,1.425226,1762275547.741,0.0002,Y
280320,1.437702,1762275584.620,0.0002,Y
280960,1.453808,1762275620.373,0.0002,Y
281600,1.392017,1762275656.549,0.0002,Y
282240,1.477424,1762275692.770,0.0002,Y
282880,1.498157,1762275729.002,0.0002,Y
283520,1.425552,1762275765.209,0.0002,Y
284160,1.440725,1762275801.790,0.0002,Y
284800,1.452003,1762275838.201,0.0002,Y
285440,1.493346,1762275875.649,0.0002,Y
286080,1.459650,1762275912.045,0.0002,Y
286720,1.443750,1762275948.926,0.0002,Y
287360,1.424251,1762275985.492,0.0002,Y
288000,1.385117,1762276021.602,0.0002,Y
288640,1.451255,1762276058.792,0.0002,Y
289280,1.437697,1762276094.966,0.0002,Y
289920,1.456446,1762276131.866,0.0002,Y
290560,1.428484,1762276169.782,0.0002,Y
291200,1.440658,1762276206.540,0.0002,Y
291840,1.403348,1762276243.453,0.0002,Y
292480,1.392466,1762276279.788,0.0002,Y
293120,1.403081,1762276316.461,0.0002,Y
293760,1.457182,1762276352.833,0.0002,Y
294400,1.398434,1762276390.104,0.0002,Y
295040,1.348119,1762276426.473,0.0002,Y
295680,1.393274,1762276463.367,0.0002,Y
296320,1.368999,1762276500.260,0.0002,Y
296960,1.389033,1762276536.850,0.0002,Y
297600,1.421856,1762276573.060,0.0002,Y
298240,1.407917,1762276609.782,0.0002,Y
298880,1.330942,1762276646.817,0.0002,Y
299520,1.287974,1762276683.270,0.0002,Y
300160,1.432319,1762276719.358,0.0002,Y
300800,1.416593,1762276756.111,0.0002,Y
301440,1.418248,1762276792.377,0.0002,Y
302080,1.344432,1762276828.393,0.0002,Y
302720,1.311418,1762276865.310,0.0002,Y
303360,1.441082,1762276901.918,0.0002,Y
304000,1.381608,1762276938.636,0.0002,Y
304640,1.306249,1762276975.033,0.0002,Y
305280,1.407302,1762277012.256,0.0002,Y
305920,1.329411,1762277048.441,0.0002,Y
306560,1.383506,1762277084.563,0.0002,Y
307200,1.389019,1762277121.234,0.0002,Y
307840,1.422819,1762277157.198,0.0002,Y
308480,1.400646,1762277194.446,0.0002,Y
309120,1.361363,1762277231.818,0.0002,Y
309760,1.369404,1762277267.543,0.0002,Y
310400,1.341089,1762277304.649,0.0002,Y
311040,1.345148,1762277342.220,0.0002,Y
311680,1.373234,1762277379.755,0.0002,Y
312320,1.440451,1762277416.696,0.0002,Y
312960,1.419390,1762277454.007,0.0002,Y
313600,1.385822,1762277491.075,0.0002,Y
314240,1.369825,1762277527.933,0.0002,Y
314880,1.301579,1762277564.466,0.0002,Y
315520,1.349637,1762277601.284,0.0002,Y
316160,1.275616,1762277639.205,0.0002,Y
316800,1.333179,1762277677.168,0.0002,Y
317440,1.360085,1762277713.344,0.0002,Y
318080,1.346300,1762277751.437,0.0002,Y
318720,1.366812,1762277788.629,0.0002,Y
319360,1.411916,1762277825.147,0.0002,Y
320000,1.344886,1762277863.108,0.0002,Y
320640,1.289811,1762277900.410,0.0002,Y
321280,1.319218,1762277937.433,0.0002,Y
321920,1.302374,1762277975.256,0.0002,Y
322560,1.383002,1762278011.411,0.0002,Y
323200,1.455122,1762278048.197,0.0002,Y
323840,1.376451,1762278084.647,0.0002,Y
324480,1.345473,1762278121.367,0.0002,Y
325120,1.363613,1762278158.897,0.0002,Y
325760,1.415463,1762278196.114,0.0002,Y
326400,1.283291,1762278233.030,0.0002,Y
327040,1.299602,1762278270.801,0.0002,Y
327680,1.291256,1762278308.381,0.0002,Y
328320,1.293040,1762278345.135,0.0002,Y
328960,1.371775,1762278382.283,0.0002,Y
329600,1.366309,1762278419.332,0.0002,Y
330240,1.359696,1762278456.300,0.0002,Y
330880,1.351030,1762278493.085,0.0002,Y
331520,1.385629,1762278529.763,0.0002,Y
332160,1.398424,1762278567.943,0.0002,Y
332800,1.365478,1762278605.300,0.0002,Y
333440,1.369418,1762278641.772,0.0002,Y
334080,1.263689,1762278679.848,0.0002,Y
334720,1.310980,1762278715.874,0.0002,Y
335360,1.322366,1762278752.245,0.0002,Y
336000,1.316538,1762278789.283,0.0002,Y
336640,1.352674,1762278825.348,0.0002,Y
337280,1.399423,1762278862.927,0.0002,Y
337920,1.333201,1762278899.229,0.0002,Y
338560,1.340888,1762278935.531,0.0002,Y
339200,1.282462,1762278973.114,0.0002,Y
339840,1.347772,1762279010.106,0.0002,Y
340480,1.331339,1762279046.093,0.0002,Y
341120,1.283249,1762279082.797,0.0002,Y
341760,1.395073,1762279119.858,0.0002,Y
342400,1.368090,1762279155.219,0.0002,Y
343040,1.284622,1762279192.195,0.0002,Y
343680,1.328364,1762279229.080,0.0002,Y
344320,1.278799,1762279266.776,0.0002,Y
344960,1.291647,1762279303.339,0.0002,Y
345600,1.398466,1762279339.574,0.0002,Y
346240,1.338186,1762279376.426,0.0002,Y
346880,1.273291,1762279414.295,0.0002,Y
347520,1.368765,1762279450.080,0.0002,Y
348160,1.340269,1762279486.780,0.0002,Y
348800,1.296029,1762279523.025,0.0002,Y
349440,1.363574,1762279559.490,0.0002,Y
350080,1.284818,1762279596.443,0.0002,Y
350720,1.322272,1762279632.990,0.0002,Y
351360,1.334311,1762279669.815,0.0002,Y
352000,1.276904,1762279707.450,0.0002,Y
352640,1.341851,1762279744.379,0.0002,Y
353280,1.334125,1762279781.508,0.0002,Y
353920,1.372238,1762279817.406,0.0002,Y
354560,1.294138,1762279853.534,0.0002,Y
355200,1.327491,1762279891.264,0.0002,Y
355840,1.260177,1762279928.399,0.0002,Y
356480,1.321418,1762279965.787,0.0002,Y
357120,1.201385,1762280001.228,0.0002,Y
357760,1.320573,1762280037.886,0.0002,Y
358400,1.299658,1762280074.347,0.0002,Y
359040,1.309559,1762280110.913,0.0002,Y
359680,1.259936,1762280147.672,0.0002,Y
360320,1.272087,1762280183.974,0.0002,Y
360960,1.346824,1762280220.157,0.0002,Y
361600,1.296987,1762280256.987,0.0002,Y
362240,1.204826,1762280293.927,0.0002,Y
362880,1.311882,1762280330.815,0.0002,Y
363520,1.268757,1762280367.111,0.0002,Y
364160,1.307630,1762280403.464,0.0002,Y
364800,1.263144,1762280440.080,0.0002,Y
365440,1.314645,1762280477.025,0.0002,Y
366080,1.299168,1762280513.697,0.0002,Y
366720,1.331346,1762280550.251,0.0002,Y
367360,1.253173,1762280586.692,0.0002,Y
368000,1.322970,1762280623.201,0.0002,Y
368640,1.245171,1762280660.896,0.0002,Y
369280,1.333289,1762280696.897,0.0002,Y
369920,1.335748,1762280733.249,0.0002,Y
370560,1.271564,1762280770.417,0.0002,Y
371200,1.209903,1762280806.950,0.0002,Y
371840,1.245550,1762280843.280,0.0002,Y
372480,1.345043,1762280880.778,0.0002,Y
373120,1.270665,1762280916.961,0.0002,Y
373760,1.347246,1762280953.209,0.0002,Y
374400,1.219302,1762280989.574,0.0002,Y
375040,1.280216,1762281026.308,0.0002,Y
375680,1.215259,1762281064.012,0.0002,Y
376320,1.185564,1762281101.361,0.0002,Y
376960,1.296015,1762281138.549,0.0002,Y
377600,1.323683,1762281175.739,0.0002,Y
378240,1.293411,1762281212.692,0.0002,Y
378880,1.262976,1762281249.577,0.0002,Y
379520,1.323818,1762281286.112,0.0002,Y
380160,1.182629,1762281323.693,0.0002,Y
380800,1.275323,1762281360.316,0.0002,Y
381440,1.220664,1762281396.385,0.0002,Y
382080,1.205424,1762281434.121,0.0002,Y
382720,1.324167,1762281471.494,0.0002,Y
383360,1.276199,1762281508.353,0.0002,Y
384000,1.224983,1762281545.428,0.0002,Y
384640,1.307320,1762281583.171,0.0002,Y
385280,1.294417,1762281620.311,0.0002,Y
