step,avg_reward,avg_len,time,lr
174640,-0.200077,17.986,1771304378.365,2e-05
175380,-0.296098,17.838,1771304717.546,2e-05
176120,-0.225411,18.270,1771305054.623,2e-05
176860,-0.455218,17.851,1771305392.233,2e-05
177600,-0.148412,17.973,1771305730.175,2e-05
178340,-0.328089,17.595,1771306068.165,2e-05
179080,-0.255809,17.041,1771306405.515,2e-05
179820,-0.276688,17.419,1771306742.528,2e-05
180560,-0.371395,17.500,1771307083.415,2e-05
181300,-0.303303,16.973,1771307421.831,2e-05
182040,-0.183438,17.905,1771307760.515,2e-05
182780,-0.318751,17.716,1771308097.979,2e-05
183520,-0.263997,17.784,1771308436.090,2e-05
184260,-0.414314,17.405,1771308774.553,2e-05
185000,-0.301567,17.811,1771309113.445,2e-05
185740,-0.235966,17.608,1771309452.535,2e-05
186480,-0.436883,17.649,1771309792.934,2e-05
187220,-0.208389,17.919,1771310131.036,2e-05
187960,-0.136271,17.568,1771310468.840,2e-05
188700,-0.298623,17.608,1771310807.824,2e-05
189440,-0.307458,17.770,1771311147.559,2e-05
190180,-0.271917,18.122,1771311487.834,2e-05
190920,-0.187078,17.797,1771311828.455,2e-05
191660,-0.188059,18.676,1771312170.204,2e-05
192400,-0.221130,18.162,1771312509.649,2e-05
193140,-0.247197,18.635,1771312852.688,2e-05
193880,-0.356688,18.270,1771313192.702,2e-05
194620,-0.162816,18.432,1771313533.261,2e-05
195360,-0.262818,18.297,1771313874.107,2e-05
196100,-0.212888,17.838,1771314214.878,2e-05
196840,-0.275803,17.595,1771314555.089,2e-05
197580,-0.265243,16.689,1771314894.634,2e-05
198320,-0.376603,16.676,1771315230.819,2e-05
199060,-0.338838,17.297,1771315573.275,2e-05
199800,-0.204582,18.270,1771315915.317,2e-05
200022,-0.389101,18.635,1771316019.213,2e-05
