smiles,D,P,EG,r0
CC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.33,5.3972573144,8.50512061018,1.582
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCCOC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.519,5.48022216985,8.50996714632,1.664
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCNC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.635,5.51463769251,8.56464913257,1.674
CC(C)NC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.272,5.3738885534,8.47928361834,1.564
O=[N+]([O-])C(CO)(CO)[N+](=O)[O-],7.74,5.55566908919,8.54811029405,1.712
CC(C)(C)NC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.892,5.24015845237,8.37378460812,1.502
CCC(CNC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.36,5.41209238081,8.51338595307,1.598
CCOC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.429,5.4450117457,8.4495565427,1.634
CCC([N+](=O)[O-])([N+](=O)[O-])C(CC)([N+](=O)[O-])[N+](=O)[O-],7.376,5.39044065542,8.58110651716,1.536
CC(CNC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.653,5.50695623166,8.59433940059,1.642
CC(CN(CC(C)([N+](=O)[O-])[N+](=O)[O-])C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.632,5.49593796063,8.60758219114,1.627
CC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.744,5.53812135876,8.60685106335,1.661
O=C(CCC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.912,5.60138054104,8.63692987302,1.717
O=[N+]([O-])C(F)(COCOCC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.247,5.70411575245,8.7056624788,1.774
CC(CC(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.443,5.42318634859,8.56655462095,1.571
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC(COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.895,5.59731023015,8.62837672038,1.717
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.91,5.60101119662,8.64153246567,1.717
NC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.814,5.56834450376,8.61268517288,1.694
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.167,5.66504164634,8.75463404743,1.718
C[C@@H](CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.168,5.64544689764,8.77245537261,1.664
O=C(CCC(CC(CC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.124,5.66017883717,8.722905701,1.734
O=C(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.064,5.64967821566,8.6669915565,1.746
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.989,5.62690143032,8.65329627441,1.735
CC(CC(CC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.95,5.58424790596,8.71997075678,1.645
COC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.881,5.58949332825,8.57338447107,1.706
O=C(NCNC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.229,5.7044489192,8.68457030082,1.788
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NC(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.484,5.7742409383,8.78017265123,1.815
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.09,5.64403247025,8.71817293003,1.712
CC(NC(=O)NC(C)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.046,5.62437845187,8.71094912584,1.688
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.484,5.76393639748,8.80447518385,1.784
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.43,5.74556400867,8.8065738205,1.767
NC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.418,5.76016280809,8.72029728739,1.82
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.736,5.83481073706,8.8692575228,1.822
O=[N+]([O-])C(COCOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.576,5.78965431373,8.81551842397,1.796
O=[N+]([O-])C(C/C=C/CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.473,5.74492441799,8.86460536808,1.736
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.143,5.70511491989,8.58298093195,1.855
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.203,5.71834262599,8.62353322719,1.85
CC(COC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.065,5.64332450562,8.65886634973,1.728
O=C(/C=C/C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.133,5.6729795655,8.68270762989,1.765
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.527,5.78597671228,8.79785064893,1.82
O=C(NCNC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.503,5.8000013324,8.73472100394,1.883
O=[N+]([O-])C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.723,5.83276185591,8.86911686593,1.825
O=[N+]([O-])C(CC#CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.66,5.80060665929,8.92265829952,1.772
O=[N+]([O-])C(COC(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.421,5.76613109972,8.72241714143,1.836
O=[N+]([O-])C(COC(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.339,5.75479239556,8.66939912431,1.862
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.427,5.76707021389,8.73278832497,1.834
